doc_a_id,doc_a_title,doc_b_id,doc_b_title,distance
10,Campaign Performance Analysis,251,Campaign Performance Analysis,3.5762787e-07
10,Campaign Performance Analysis,99,Campaign Performance Analysis,0.14854026
11,Market Expansion Analysis,83,Market Expansion Analysis,7.1525574e-07
11,Market Expansion Analysis,211,Market Expansion Analysis,7.1525574e-07
11,Market Expansion Analysis,246,Market Expansion Analysis,7.1525574e-07
11,Market Expansion Analysis,85,Market Expansion Analysis,0.15604138
12,Pricing Strategy Analysis,100,Pricing Strategy Analysis,0.0
12,Pricing Strategy Analysis,108,Pricing Strategy Analysis,0.0
12,Pricing Strategy Analysis,111,Pricing Strategy Analysis,0.0
12,Pricing Strategy Analysis,213,Pricing Strategy Analysis,0.0
13,User Retention Analysis,31,User Retention Analysis,3.5762787e-07
13,User Retention Analysis,36,User Retention Analysis,3.5762787e-07
13,User Retention Analysis,67,User Retention Analysis,3.5762787e-07
13,User Retention Analysis,223,User Retention Analysis,3.5762787e-07
14,Pricing Strategy Analysis,18,Pricing Strategy Analysis,2.3841858e-07
14,Pricing Strategy Analysis,86,Pricing Strategy Analysis,2.3841858e-07
14,Pricing Strategy Analysis,87,Pricing Strategy Analysis,2.3841858e-07
14,Pricing Strategy Analysis,104,Pricing Strategy Analysis,2.3841858e-07
15,Pricing Strategy Analysis,35,Pricing Strategy Analysis,1.1920929e-07
15,Pricing Strategy Analysis,126,Pricing Strategy Analysis,1.1920929e-07
15,Pricing Strategy Analysis,143,Pricing Strategy Analysis,1.1920929e-07
16,Revenue Forecast Analysis,177,Revenue Forecast Analysis,0.0
16,Revenue Forecast Analysis,182,Revenue Forecast Analysis,0.0
16,Revenue Forecast Analysis,232,Revenue Forecast Analysis,0.0
16,Revenue Forecast Analysis,235,Revenue Forecast Analysis,0.0
17,Pricing Strategy Analysis,103,Pricing Strategy Analysis,4.7683716e-07
17,Pricing Strategy Analysis,179,Pricing Strategy Analysis,4.7683716e-07
17,Pricing Strategy Analysis,253,Pricing Strategy Analysis,4.7683716e-07
17,Pricing Strategy Analysis,277,Pricing Strategy Analysis,4.7683716e-07
18,Pricing Strategy Analysis,86,Pricing Strategy Analysis,2.3841858e-07
18,Pricing Strategy Analysis,87,Pricing Strategy Analysis,2.3841858e-07
18,Pricing Strategy Analysis,104,Pricing Strategy Analysis,2.3841858e-07
19,Product Adoption Analysis,98,Product Adoption Analysis,0.0
19,Product Adoption Analysis,120,Product Adoption Analysis,0.0
19,Product Adoption Analysis,276,Product Adoption Analysis,0.0
19,Product Adoption Analysis,153,Product Adoption Analysis,0.043097854
20,Customer Churn Analysis,38,Customer Churn Analysis,1.1920929e-07
20,Customer Churn Analysis,46,Customer Churn Analysis,1.1920929e-07
20,Customer Churn Analysis,139,Customer Churn Analysis,1.1920929e-07
20,Customer Churn Analysis,167,Customer Churn Analysis,1.1920929e-07
21,Revenue Forecast Analysis,166,Revenue Forecast Analysis,1.1920929e-07
21,Revenue Forecast Analysis,228,Revenue Forecast Analysis,1.1920929e-07
21,Revenue Forecast Analysis,283,Revenue Forecast Analysis,1.1920929e-07
21,Revenue Forecast Analysis,118,Revenue Forecast Analysis,0.12669742
22,User Retention Analysis,157,User Retention Analysis,1.1920929e-07
22,User Retention Analysis,133,User Retention Analysis,0.13798153
22,User Retention Analysis,249,User Retention Analysis,0.13798153
23,Product Adoption Analysis,30,Product Adoption Analysis,0.0
23,Product Adoption Analysis,50,Product Adoption Analysis,0.0
23,Product Adoption Analysis,174,Product Adoption Analysis,0.0
23,Product Adoption Analysis,203,Product Adoption Analysis,0.0
24,Product Adoption Analysis,115,Product Adoption Analysis,0.0
24,Product Adoption Analysis,124,Product Adoption Analysis,0.0
24,Product Adoption Analysis,144,Product Adoption Analysis,0.0
25,Customer Segmentation Analysis,40,Customer Segmentation Analysis,2.3841858e-07
25,Customer Segmentation Analysis,73,Customer Segmentation Analysis,2.3841858e-07
25,Customer Segmentation Analysis,185,Customer Segmentation Analysis,2.3841858e-07
25,Customer Segmentation Analysis,191,Customer Segmentation Analysis,2.3841858e-07
26,Market Expansion Analysis,63,Market Expansion Analysis,0.0
26,Market Expansion Analysis,155,Market Expansion Analysis,0.0
26,Market Expansion Analysis,196,Market Expansion Analysis,0.0
26,Market Expansion Analysis,85,Market Expansion Analysis,0.117486
27,Customer Segmentation Analysis,42,Customer Segmentation Analysis,9.536743e-07
27,Customer Segmentation Analysis,72,Customer Segmentation Analysis,9.536743e-07
27,Customer Segmentation Analysis,113,Customer Segmentation Analysis,9.536743e-07
27,Customer Segmentation Analysis,148,Customer Segmentation Analysis,9.536743e-07
28,Customer Segmentation Analysis,5,Customer Segmentation Analysis,0.0
28,Customer Segmentation Analysis,74,Customer Segmentation Analysis,0.0
28,Customer Segmentation Analysis,93,Customer Segmentation Analysis,0.0
29,Market Expansion Analysis,60,Market Expansion Analysis,0.0
29,Market Expansion Analysis,26,Market Expansion Analysis,0.23605108
29,Market Expansion Analysis,63,Market Expansion Analysis,0.23605108
29,Market Expansion Analysis,155,Market Expansion Analysis,0.23605108
30,Product Adoption Analysis,50,Product Adoption Analysis,0.0
30,Product Adoption Analysis,174,Product Adoption Analysis,0.0
30,Product Adoption Analysis,203,Product Adoption Analysis,0.0
31,User Retention Analysis,36,User Retention Analysis,3.5762787e-07
31,User Retention Analysis,67,User Retention Analysis,3.5762787e-07
31,User Retention Analysis,223,User Retention Analysis,3.5762787e-07
32,Market Expansion Analysis,80,Market Expansion Analysis,0.0
32,Market Expansion Analysis,91,Market Expansion Analysis,0.0
32,Market Expansion Analysis,92,Market Expansion Analysis,0.0
32,Market Expansion Analysis,194,Market Expansion Analysis,0.0
33,User Retention Analysis,75,User Retention Analysis,9.536743e-07
33,User Retention Analysis,119,User Retention Analysis,9.536743e-07
33,User Retention Analysis,134,User Retention Analysis,9.536743e-07
33,User Retention Analysis,152,User Retention Analysis,9.536743e-07
34,Campaign Performance Analysis,64,Campaign Performance Analysis,7.1525574e-07
34,Campaign Performance Analysis,99,Campaign Performance Analysis,0.14238894
34,Campaign Performance Analysis,116,Campaign Performance Analysis,0.14238894
34,Campaign Performance Analysis,205,Campaign Performance Analysis,0.14238894
35,Pricing Strategy Analysis,15,Pricing Strategy Analysis,1.1920929e-07
35,Pricing Strategy Analysis,126,Pricing Strategy Analysis,1.1920929e-07
35,Pricing Strategy Analysis,143,Pricing Strategy Analysis,1.1920929e-07
36,User Retention Analysis,31,User Retention Analysis,3.5762787e-07
36,User Retention Analysis,67,User Retention Analysis,3.5762787e-07
36,User Retention Analysis,223,User Retention Analysis,3.5762787e-07
37,Pricing Strategy Analysis,49,Pricing Strategy Analysis,2.3841858e-07
37,Pricing Strategy Analysis,51,Pricing Strategy Analysis,2.3841858e-07
37,Pricing Strategy Analysis,112,Pricing Strategy Analysis,0.18189335
37,Pricing Strategy Analysis,121,Pricing Strategy Analysis,0.18189335
38,Customer Churn Analysis,46,Customer Churn Analysis,1.1920929e-07
38,Customer Churn Analysis,139,Customer Churn Analysis,1.1920929e-07
38,Customer Churn Analysis,167,Customer Churn Analysis,1.1920929e-07
39,User Retention Analysis,43,User Retention Analysis,0.0
39,User Retention Analysis,53,User Retention Analysis,0.0
39,User Retention Analysis,127,User Retention Analysis,0.0
39,User Retention Analysis,147,User Retention Analysis,0.0
40,Customer Segmentation Analysis,73,Customer Segmentation Analysis,2.3841858e-07
40,Customer Segmentation Analysis,185,Customer Segmentation Analysis,2.3841858e-07
40,Customer Segmentation Analysis,191,Customer Segmentation Analysis,2.3841858e-07
41,Customer Churn Analysis,56,Customer Churn Analysis,1.1920929e-07
41,Customer Churn Analysis,78,Customer Churn Analysis,1.1920929e-07
41,Customer Churn Analysis,97,Customer Churn Analysis,1.1920929e-07
41,Customer Churn Analysis,163,Customer Churn Analysis,1.1920929e-07
42,Customer Segmentation Analysis,72,Customer Segmentation Analysis,9.536743e-07
42,Customer Segmentation Analysis,113,Customer Segmentation Analysis,9.536743e-07
42,Customer Segmentation Analysis,148,Customer Segmentation Analysis,9.536743e-07
43,User Retention Analysis,53,User Retention Analysis,0.0
43,User Retention Analysis,127,User Retention Analysis,0.0
43,User Retention Analysis,147,User Retention Analysis,0.0
44,Sales Pipeline Analysis,59,Sales Pipeline Analysis,0.0
44,Sales Pipeline Analysis,109,Sales Pipeline Analysis,0.0
44,Sales Pipeline Analysis,164,Sales Pipeline Analysis,0.0
45,Customer Segmentation Analysis,71,Customer Segmentation Analysis,0.0
45,Customer Segmentation Analysis,89,Customer Segmentation Analysis,0.106092334
45,Customer Segmentation Analysis,171,Customer Segmentation Analysis,0.106092334
46,Customer Churn Analysis,38,Customer Churn Analysis,1.1920929e-07
46,Customer Churn Analysis,139,Customer Churn Analysis,1.1920929e-07
46,Customer Churn Analysis,167,Customer Churn Analysis,1.1920929e-07
47,Revenue Forecast Analysis,76,Revenue Forecast Analysis,0.0
47,Revenue Forecast Analysis,158,Revenue Forecast Analysis,0.0
47,Revenue Forecast Analysis,198,Revenue Forecast Analysis,0.0
47,Revenue Forecast Analysis,221,Revenue Forecast Analysis,0.0
48,Revenue Forecast Analysis,68,Revenue Forecast Analysis,0.0
48,Revenue Forecast Analysis,138,Revenue Forecast Analysis,0.0
48,Revenue Forecast Analysis,233,Revenue Forecast Analysis,0.0
48,Revenue Forecast Analysis,239,Revenue Forecast Analysis,0.0
49,Pricing Strategy Analysis,51,Pricing Strategy Analysis,2.3841858e-07
49,Pricing Strategy Analysis,112,Pricing Strategy Analysis,0.18189335
49,Pricing Strategy Analysis,121,Pricing Strategy Analysis,0.18189335
50,Product Adoption Analysis,30,Product Adoption Analysis,0.0
50,Product Adoption Analysis,174,Product Adoption Analysis,0.0
50,Product Adoption Analysis,203,Product Adoption Analysis,0.0
51,Pricing Strategy Analysis,49,Pricing Strategy Analysis,2.3841858e-07
51,Pricing Strategy Analysis,112,Pricing Strategy Analysis,0.18189335
51,Pricing Strategy Analysis,121,Pricing Strategy Analysis,0.18189335
52,Campaign Performance Analysis,107,Campaign Performance Analysis,8.34465e-07
52,Campaign Performance Analysis,186,Campaign Performance Analysis,8.34465e-07
52,Campaign Performance Analysis,245,Campaign Performance Analysis,8.34465e-07
52,Campaign Performance Analysis,264,Campaign Performance Analysis,8.34465e-07
53,User Retention Analysis,43,User Retention Analysis,0.0
53,User Retention Analysis,127,User Retention Analysis,0.0
53,User Retention Analysis,147,User Retention Analysis,0.0
54,Campaign Performance Analysis,69,Campaign Performance Analysis,0.0
54,Campaign Performance Analysis,206,Campaign Performance Analysis,0.0
54,Campaign Performance Analysis,296,Campaign Performance Analysis,0.0
54,Campaign Performance Analysis,34,Campaign Performance Analysis,0.24397612
55,Customer Segmentation Analysis,129,Customer Segmentation Analysis,2.3841858e-07
55,Customer Segmentation Analysis,254,Customer Segmentation Analysis,2.3841858e-07
55,Customer Segmentation Analysis,269,Customer Segmentation Analysis,2.3841858e-07
55,Customer Segmentation Analysis,25,Customer Segmentation Analysis,0.106450915
56,Customer Churn Analysis,78,Customer Churn Analysis,1.1920929e-07
56,Customer Churn Analysis,97,Customer Churn Analysis,1.1920929e-07
56,Customer Churn Analysis,163,Customer Churn Analysis,1.1920929e-07
57,Sales Pipeline Analysis,199,Sales Pipeline Analysis,7.1525574e-07
57,Sales Pipeline Analysis,247,Sales Pipeline Analysis,7.1525574e-07
57,Sales Pipeline Analysis,90,Sales Pipeline Analysis,0.08027935
57,Sales Pipeline Analysis,237,Sales Pipeline Analysis,0.08027935
58,Product Adoption Analysis,66,Product Adoption Analysis,0.0
58,Product Adoption Analysis,101,Product Adoption Analysis,0.0
58,Product Adoption Analysis,114,Product Adoption Analysis,0.0
58,Product Adoption Analysis,280,Product Adoption Analysis,0.0
59,Sales Pipeline Analysis,44,Sales Pipeline Analysis,0.0
59,Sales Pipeline Analysis,109,Sales Pipeline Analysis,0.0
59,Sales Pipeline Analysis,164,Sales Pipeline Analysis,0.0
60,Market Expansion Analysis,26,Market Expansion Analysis,0.23605108
60,Market Expansion Analysis,63,Market Expansion Analysis,0.23605108
60,Market Expansion Analysis,155,Market Expansion Analysis,0.23605108
61,Sales Pipeline Analysis,169,Sales Pipeline Analysis,2.3841858e-07
61,Sales Pipeline Analysis,62,Sales Pipeline Analysis,0.051397562
61,Sales Pipeline Analysis,70,Sales Pipeline Analysis,0.051397562
61,Sales Pipeline Analysis,81,Sales Pipeline Analysis,0.051397562
62,Sales Pipeline Analysis,70,Sales Pipeline Analysis,2.3841858e-07
62,Sales Pipeline Analysis,81,Sales Pipeline Analysis,2.3841858e-07
62,Sales Pipeline Analysis,150,Sales Pipeline Analysis,2.3841858e-07
62,Sales Pipeline Analysis,110,Sales Pipeline Analysis,0.03985703
63,Market Expansion Analysis,155,Market Expansion Analysis,0.0
63,Market Expansion Analysis,196,Market Expansion Analysis,0.0
63,Market Expansion Analysis,85,Market Expansion Analysis,0.117486
64,Campaign Performance Analysis,99,Campaign Performance Analysis,0.14238894
64,Campaign Performance Analysis,116,Campaign Performance Analysis,0.14238894
64,Campaign Performance Analysis,205,Campaign Performance Analysis,0.14238894
65,User Retention Analysis,133,User Retention Analysis,0.21055698
65,User Retention Analysis,249,User Retention Analysis,0.21055698
65,User Retention Analysis,13,User Retention Analysis,0.22466278
65,User Retention Analysis,31,User Retention Analysis,0.22466278
66,Product Adoption Analysis,101,Product Adoption Analysis,0.0
66,Product Adoption Analysis,114,Product Adoption Analysis,0.0
66,Product Adoption Analysis,280,Product Adoption Analysis,0.0
67,User Retention Analysis,31,User Retention Analysis,3.5762787e-07
67,User Retention Analysis,36,User Retention Analysis,3.5762787e-07
67,User Retention Analysis,223,User Retention Analysis,3.5762787e-07
68,Revenue Forecast Analysis,138,Revenue Forecast Analysis,0.0
68,Revenue Forecast Analysis,233,Revenue Forecast Analysis,0.0
68,Revenue Forecast Analysis,239,Revenue Forecast Analysis,0.0
69,Campaign Performance Analysis,206,Campaign Performance Analysis,0.0
69,Campaign Performance Analysis,296,Campaign Performance Analysis,0.0
69,Campaign Performance Analysis,34,Campaign Performance Analysis,0.24397612
70,Sales Pipeline Analysis,81,Sales Pipeline Analysis,2.3841858e-07
70,Sales Pipeline Analysis,150,Sales Pipeline Analysis,2.3841858e-07
70,Sales Pipeline Analysis,110,Sales Pipeline Analysis,0.03985703
71,Customer Segmentation Analysis,45,Customer Segmentation Analysis,0.0
71,Customer Segmentation Analysis,89,Customer Segmentation Analysis,0.106092334
71,Customer Segmentation Analysis,171,Customer Segmentation Analysis,0.106092334
72,Customer Segmentation Analysis,42,Customer Segmentation Analysis,9.536743e-07
72,Customer Segmentation Analysis,113,Customer Segmentation Analysis,9.536743e-07
72,Customer Segmentation Analysis,148,Customer Segmentation Analysis,9.536743e-07
73,Customer Segmentation Analysis,40,Customer Segmentation Analysis,2.3841858e-07
73,Customer Segmentation Analysis,185,Customer Segmentation Analysis,2.3841858e-07
73,Customer Segmentation Analysis,191,Customer Segmentation Analysis,2.3841858e-07
74,Customer Segmentation Analysis,5,Customer Segmentation Analysis,0.0
74,Customer Segmentation Analysis,28,Customer Segmentation Analysis,0.0
74,Customer Segmentation Analysis,93,Customer Segmentation Analysis,0.0
75,User Retention Analysis,119,User Retention Analysis,9.536743e-07
75,User Retention Analysis,134,User Retention Analysis,9.536743e-07
75,User Retention Analysis,152,User Retention Analysis,9.536743e-07
76,Revenue Forecast Analysis,158,Revenue Forecast Analysis,0.0
76,Revenue Forecast Analysis,198,Revenue Forecast Analysis,0.0
76,Revenue Forecast Analysis,221,Revenue Forecast Analysis,0.0
77,Customer Churn Analysis,96,Customer Churn Analysis,0.0
77,Customer Churn Analysis,175,Customer Churn Analysis,0.0
77,Customer Churn Analysis,222,Customer Churn Analysis,0.0
77,Customer Churn Analysis,292,Customer Churn Analysis,0.0
78,Customer Churn Analysis,56,Customer Churn Analysis,1.1920929e-07
78,Customer Churn Analysis,97,Customer Churn Analysis,1.1920929e-07
78,Customer Churn Analysis,163,Customer Churn Analysis,1.1920929e-07
79,Market Expansion Analysis,184,Market Expansion Analysis,5.9604645e-07
79,Market Expansion Analysis,195,Market Expansion Analysis,5.9604645e-07
79,Market Expansion Analysis,289,Market Expansion Analysis,5.9604645e-07
79,Market Expansion Analysis,26,Market Expansion Analysis,0.14122605
80,Market Expansion Analysis,91,Market Expansion Analysis,0.0
80,Market Expansion Analysis,92,Market Expansion Analysis,0.0
80,Market Expansion Analysis,194,Market Expansion Analysis,0.0
81,Sales Pipeline Analysis,70,Sales Pipeline Analysis,2.3841858e-07
81,Sales Pipeline Analysis,150,Sales Pipeline Analysis,2.3841858e-07
81,Sales Pipeline Analysis,110,Sales Pipeline Analysis,0.03985703
82,Product Adoption Analysis,168,Product Adoption Analysis,0.0
82,Product Adoption Analysis,170,Product Adoption Analysis,0.0
82,Product Adoption Analysis,285,Product Adoption Analysis,0.0
82,Product Adoption Analysis,153,Product Adoption Analysis,0.16608667
83,Market Expansion Analysis,211,Market Expansion Analysis,7.1525574e-07
83,Market Expansion Analysis,246,Market Expansion Analysis,7.1525574e-07
83,Market Expansion Analysis,85,Market Expansion Analysis,0.15604138
84,Customer Churn Analysis,141,Customer Churn Analysis,0.0
84,Customer Churn Analysis,265,Customer Churn Analysis,0.0
84,Customer Churn Analysis,279,Customer Churn Analysis,0.0
84,Customer Churn Analysis,291,Customer Churn Analysis,0.0
85,Market Expansion Analysis,105,Market Expansion Analysis,0.0
85,Market Expansion Analysis,122,Market Expansion Analysis,0.0
85,Market Expansion Analysis,135,Market Expansion Analysis,0.0
85,Market Expansion Analysis,161,Market Expansion Analysis,0.0
86,Pricing Strategy Analysis,18,Pricing Strategy Analysis,2.3841858e-07
86,Pricing Strategy Analysis,87,Pricing Strategy Analysis,2.3841858e-07
86,Pricing Strategy Analysis,104,Pricing Strategy Analysis,2.3841858e-07
87,Pricing Strategy Analysis,18,Pricing Strategy Analysis,2.3841858e-07
87,Pricing Strategy Analysis,86,Pricing Strategy Analysis,2.3841858e-07
87,Pricing Strategy Analysis,104,Pricing Strategy Analysis,2.3841858e-07
88,Market Expansion Analysis,26,Market Expansion Analysis,0.29940808
88,Market Expansion Analysis,63,Market Expansion Analysis,0.29940808
88,Market Expansion Analysis,155,Market Expansion Analysis,0.29940808
88,Market Expansion Analysis,196,Market Expansion Analysis,0.29940808
89,Customer Segmentation Analysis,171,Customer Segmentation Analysis,0.0
89,Customer Segmentation Analysis,172,Customer Segmentation Analysis,0.0
89,Customer Segmentation Analysis,210,Customer Segmentation Analysis,0.0
89,Customer Segmentation Analysis,260,Customer Segmentation Analysis,0.0
90,Sales Pipeline Analysis,237,Sales Pipeline Analysis,2.3841858e-07
90,Sales Pipeline Analysis,244,Sales Pipeline Analysis,2.3841858e-07
90,Sales Pipeline Analysis,258,Sales Pipeline Analysis,2.3841858e-07
90,Sales Pipeline Analysis,278,Sales Pipeline Analysis,2.3841858e-07
91,Market Expansion Analysis,80,Market Expansion Analysis,0.0
91,Market Expansion Analysis,92,Market Expansion Analysis,0.0
91,Market Expansion Analysis,194,Market Expansion Analysis,0.0
92,Market Expansion Analysis,80,Market Expansion Analysis,0.0
92,Market Expansion Analysis,91,Market Expansion Analysis,0.0
92,Market Expansion Analysis,194,Market Expansion Analysis,0.0
93,Customer Segmentation Analysis,5,Customer Segmentation Analysis,0.0
93,Customer Segmentation Analysis,28,Customer Segmentation Analysis,0.0
93,Customer Segmentation Analysis,74,Customer Segmentation Analysis,0.0
94,Pricing Strategy Analysis,102,Pricing Strategy Analysis,2.3841858e-07
94,Pricing Strategy Analysis,123,Pricing Strategy Analysis,2.3841858e-07
94,Pricing Strategy Analysis,238,Pricing Strategy Analysis,2.3841858e-07
95,Revenue Forecast Analysis,131,Revenue Forecast Analysis,0.0
95,Revenue Forecast Analysis,151,Revenue Forecast Analysis,0.0
95,Revenue Forecast Analysis,197,Revenue Forecast Analysis,0.0
95,Revenue Forecast Analysis,259,Revenue Forecast Analysis,0.0
96,Customer Churn Analysis,175,Customer Churn Analysis,0.0
96,Customer Churn Analysis,222,Customer Churn Analysis,0.0
96,Customer Churn Analysis,292,Customer Churn Analysis,0.0
97,Customer Churn Analysis,56,Customer Churn Analysis,1.1920929e-07
97,Customer Churn Analysis,78,Customer Churn Analysis,1.1920929e-07
97,Customer Churn Analysis,163,Customer Churn Analysis,1.1920929e-07
98,Product Adoption Analysis,120,Product Adoption Analysis,0.0
98,Product Adoption Analysis,276,Product Adoption Analysis,0.0
98,Product Adoption Analysis,153,Product Adoption Analysis,0.043097854
99,Campaign Performance Analysis,116,Campaign Performance Analysis,0.0
99,Campaign Performance Analysis,205,Campaign Performance Analysis,0.0
99,Campaign Performance Analysis,34,Campaign Performance Analysis,0.14238894
99,Campaign Performance Analysis,64,Campaign Performance Analysis,0.14238894
100,Pricing Strategy Analysis,108,Pricing Strategy Analysis,0.0
100,Pricing Strategy Analysis,111,Pricing Strategy Analysis,0.0
100,Pricing Strategy Analysis,213,Pricing Strategy Analysis,0.0
101,Product Adoption Analysis,66,Product Adoption Analysis,0.0
101,Product Adoption Analysis,114,Product Adoption Analysis,0.0
101,Product Adoption Analysis,280,Product Adoption Analysis,0.0
102,Pricing Strategy Analysis,94,Pricing Strategy Analysis,2.3841858e-07
102,Pricing Strategy Analysis,123,Pricing Strategy Analysis,2.3841858e-07
102,Pricing Strategy Analysis,238,Pricing Strategy Analysis,2.3841858e-07
103,Pricing Strategy Analysis,179,Pricing Strategy Analysis,4.7683716e-07
103,Pricing Strategy Analysis,253,Pricing Strategy Analysis,4.7683716e-07
103,Pricing Strategy Analysis,277,Pricing Strategy Analysis,4.7683716e-07
104,Pricing Strategy Analysis,18,Pricing Strategy Analysis,2.3841858e-07
104,Pricing Strategy Analysis,86,Pricing Strategy Analysis,2.3841858e-07
104,Pricing Strategy Analysis,87,Pricing Strategy Analysis,2.3841858e-07
105,Market Expansion Analysis,122,Market Expansion Analysis,0.0
105,Market Expansion Analysis,135,Market Expansion Analysis,0.0
105,Market Expansion Analysis,161,Market Expansion Analysis,0.0
106,Sales Pipeline Analysis,202,Sales Pipeline Analysis,0.0
106,Sales Pipeline Analysis,62,Sales Pipeline Analysis,0.04660237
106,Sales Pipeline Analysis,70,Sales Pipeline Analysis,0.04660237
106,Sales Pipeline Analysis,81,Sales Pipeline Analysis,0.04660237
107,Campaign Performance Analysis,186,Campaign Performance Analysis,8.34465e-07
107,Campaign Performance Analysis,245,Campaign Performance Analysis,8.34465e-07
107,Campaign Performance Analysis,264,Campaign Performance Analysis,8.34465e-07
108,Pricing Strategy Analysis,100,Pricing Strategy Analysis,0.0
108,Pricing Strategy Analysis,111,Pricing Strategy Analysis,0.0
108,Pricing Strategy Analysis,213,Pricing Strategy Analysis,0.0
109,Sales Pipeline Analysis,44,Sales Pipeline Analysis,0.0
109,Sales Pipeline Analysis,59,Sales Pipeline Analysis,0.0
109,Sales Pipeline Analysis,164,Sales Pipeline Analysis,0.0
110,Sales Pipeline Analysis,125,Sales Pipeline Analysis,5.9604645e-07
110,Sales Pipeline Analysis,200,Sales Pipeline Analysis,5.9604645e-07
110,Sales Pipeline Analysis,255,Sales Pipeline Analysis,5.9604645e-07
110,Sales Pipeline Analysis,62,Sales Pipeline Analysis,0.03985703
111,Pricing Strategy Analysis,100,Pricing Strategy Analysis,0.0
111,Pricing Strategy Analysis,108,Pricing Strategy Analysis,0.0
111,Pricing Strategy Analysis,213,Pricing Strategy Analysis,0.0
112,Pricing Strategy Analysis,121,Pricing Strategy Analysis,0.0
112,Pricing Strategy Analysis,149,Pricing Strategy Analysis,0.0
112,Pricing Strategy Analysis,219,Pricing Strategy Analysis,0.0
112,Pricing Strategy Analysis,224,Pricing Strategy Analysis,0.0
113,Customer Segmentation Analysis,42,Customer Segmentation Analysis,9.536743e-07
113,Customer Segmentation Analysis,72,Customer Segmentation Analysis,9.536743e-07
113,Customer Segmentation Analysis,148,Customer Segmentation Analysis,9.536743e-07
114,Product Adoption Analysis,66,Product Adoption Analysis,0.0
114,Product Adoption Analysis,101,Product Adoption Analysis,0.0
114,Product Adoption Analysis,280,Product Adoption Analysis,0.0
115,Product Adoption Analysis,24,Product Adoption Analysis,0.0
115,Product Adoption Analysis,124,Product Adoption Analysis,0.0
115,Product Adoption Analysis,144,Product Adoption Analysis,0.0
116,Campaign Performance Analysis,205,Campaign Performance Analysis,0.0
116,Campaign Performance Analysis,34,Campaign Performance Analysis,0.14238894
116,Campaign Performance Analysis,64,Campaign Performance Analysis,0.14238894
117,Product Adoption Analysis,190,Product Adoption Analysis,0.0
117,Product Adoption Analysis,282,Product Adoption Analysis,0.0
117,Product Adoption Analysis,4,Product Adoption Analysis,0.11000037
117,Product Adoption Analysis,24,Product Adoption Analysis,0.11000037
118,Revenue Forecast Analysis,146,Revenue Forecast Analysis,8.34465e-07
118,Revenue Forecast Analysis,189,Revenue Forecast Analysis,8.34465e-07
